From Date,To Date,Ozone,CO,SO2,NO2,PM10,PM2.5,State,City,Station
01-08-2021 00:00,02-08-2021 00:00,7.09,0.68,10.35,35.69,85.62,22.99,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
02-08-2021 00:00,03-08-2021 00:00,6.88,0.72,8.33,40.15,104.48,29.59,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
03-08-2021 00:00,04-08-2021 00:00,7.83,0.76,7.4,34.08,90.17,27.24,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
04-08-2021 00:00,05-08-2021 00:00,7.25,0.86,9.28,42.43,110.16,28.08,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
05-08-2021 00:00,06-08-2021 00:00,7.48,0.82,14.43,41.93,102.27,26.75,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
06-08-2021 00:00,07-08-2021 00:00,8.14,0.76,11.84,36.38,90.84,23.96,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
07-08-2021 00:00,08-08-2021 00:00,6.68,0.74,14.65,36.03,90.98,28.0,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
08-08-2021 00:00,09-08-2021 00:00,6.75,0.66,13.32,30.54,52.92,25.55,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
09-08-2021 00:00,10-08-2021 00:00,6.39,0.73,16.51,29.63,76.95,26.65,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
10-08-2021 00:00,11-08-2021 00:00,5.97,0.82,15.71,39.4,107.48,40.33,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
11-08-2021 00:00,12-08-2021 00:00,6.58,0.71,12.82,38.42,103.23,40.28,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
12-08-2021 00:00,13-08-2021 00:00,10.66,0.68,14.91,35.28,104.12,29.72,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
13-08-2021 00:00,14-08-2021 00:00,27.59,0.74,14.32,31.58,70.54,28.47,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
14-08-2021 00:00,15-08-2021 00:00,18.48,0.66,16.9,33.6,71.45,25.4,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
15-08-2021 00:00,16-08-2021 00:00,10.73,0.75,16.11,41.17,79.17,29.28,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
16-08-2021 00:00,17-08-2021 00:00,9.71,0.81,12.64,44.55,79.36,32.98,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
17-08-2021 00:00,18-08-2021 00:00,7.09,0.74,12.98,35.3,103.28,36.11,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
18-08-2021 00:00,19-08-2021 00:00,6.79,0.9,17.38,37.48,94.17,31.42,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
19-08-2021 00:00,20-08-2021 00:00,6.66,0.92,14.12,43.6,80.24,28.75,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
20-08-2021 00:00,21-08-2021 00:00,6.48,1.08,12.87,42.96,89.86,31.29,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
21-08-2021 00:00,22-08-2021 00:00,7.46,0.71,15.13,32.43,54.26,22.81,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
22-08-2021 00:00,23-08-2021 00:00,7.16,0.64,15.99,28.89,55.24,18.99,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
23-08-2021 00:00,24-08-2021 00:00,6.86,0.72,16.9,32.32,72.67,21.24,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
24-08-2021 00:00,25-08-2021 00:00,6.89,0.77,15.03,34.44,91.99,34.71,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
25-08-2021 00:00,26-08-2021 00:00,7.05,0.78,16.11,42.08,87.72,48.1,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
26-08-2021 00:00,27-08-2021 00:00,9.13,0.89,11.95,44.85,92.07,46.46,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
27-08-2021 00:00,28-08-2021 00:00,9.44,0.89,12.29,60.79,118.92,42.45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
28-08-2021 00:00,29-08-2021 00:00,9.16,0.91,14.49,44.65,103.42,41.14,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
29-08-2021 00:00,30-08-2021 00:00,11.59,0.75,14.72,34.7,94.85,39.64,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
30-08-2021 00:00,31-08-2021 00:00,14.82,0.64,13.61,24.04,51.76,21.08,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
31-08-2021 00:00,01-09-2021 00:00,10.63,0.83,14.94,30.53,40.17,15.92,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
01-09-2021 00:00,02-09-2021 00:00,12.43,0.69,13.95,29.09,67.38,19.94,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
02-09-2021 00:00,03-09-2021 00:00,14.93,0.63,16.37,20.67,56.57,17.29,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
03-09-2021 00:00,04-09-2021 00:00,13.62,0.68,15.94,24.38,67.15,17.72,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
04-09-2021 00:00,05-09-2021 00:00,15.45,0.72,16.42,29.23,91.86,26.52,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
05-09-2021 00:00,06-09-2021 00:00,13.32,0.71,18.12,29.8,54.76,21.81,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
06-09-2021 00:00,07-09-2021 00:00,8.71,0.74,15.78,38.53,33.16,14.0,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
07-09-2021 00:00,08-09-2021 00:00,8.8,0.85,15.74,37.6,59.88,17.22,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
08-09-2021 00:00,09-09-2021 00:00,8.74,0.98,13.66,46.33,77.52,21.75,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
09-09-2021 00:00,10-09-2021 00:00,16.36,0.97,14.43,45.65,83.39,21.56,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB"
